Date,Type,Link
2025-11-08 15:44:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7390180751440322560
2025-11-08 13:15:23,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7392898270156447745
2025-11-08 13:02:42,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7392825564031758336
2025-11-07 13:33:28,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7390140163168854016
2025-11-07 13:18:24,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7391794935089393664
2025-11-07 12:12:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7390118331787288576
2025-11-07 03:09:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7391188636257574912
2025-11-07 00:30:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7392318233346830336
2025-11-06 14:09:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7392071496246136832
2025-11-06 14:07:47,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7391895688294408192
2025-11-05 21:07:25,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7391921157282648064
2025-10-30 21:13:59,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7389663338147971072
2025-10-29 10:53:15,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7387835707769364480
2025-10-26 11:18:53,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7388009264486707200
2025-10-24 01:08:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7386955358734409728?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7386955358734409728%2C7387275510461935616%29
2025-10-23 20:22:12,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7386955358734409728
2025-10-23 11:02:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7387067761002414080
2025-10-22 23:44:02,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7384251372575272960
2025-10-22 23:42:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7386595275999498241
2025-10-22 22:50:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7386782146981584897
2025-10-20 10:52:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7384589145500807168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7384589145500807168%2C7385734149279703041%29
2025-10-19 11:51:59,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7384589145500807168
2025-10-17 22:44:09,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7384747348427649024
2025-10-15 23:52:24,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7384348934778957824
2025-10-15 16:26:32,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383940731448557569
2025-10-14 01:21:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383116194482061312?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7383116194482061312%2C7383628106885910528%29
2025-10-13 14:01:13,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383490713960734721?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7383490713960734721%2C7383492717697245184%29
2025-10-13 14:00:35,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383388555345149952
2025-10-13 12:57:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7383285787649388544?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7383285787649388544%2C7383362538807169024%29
2025-10-13 03:57:42,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7379919076359360512
2025-10-13 03:15:13,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7382118412165988353
2025-10-13 00:02:22,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7381699901275140096?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7381699901275140096%2C7382000277417271297%29
2025-10-13 00:02:15,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7381699901275140096
2025-10-12 20:53:04,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383116194482061312?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7383116194482061312%2C7383242762847936512%29
2025-10-12 20:52:40,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383243026187395072
2025-10-12 16:47:10,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383097357816602624
2025-10-12 15:27:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373351108116856832
2025-10-12 15:24:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383116194482061312?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7383116194482061312%2C7383126582971756544%29
2025-10-12 15:24:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383116194482061312?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7383116194482061312%2C7383160275073642496%29
2025-10-10 12:19:11,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7381349210396303362
2025-10-10 11:45:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7382113690696761344
2025-10-10 09:40:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7380613280534405120
2025-10-09 14:39:46,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7381712488209408000
2025-10-08 20:54:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7381288774380728320
2025-10-08 17:59:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7381576012133769216
2025-10-07 23:46:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7379259634777440256
2025-10-07 23:41:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7378789219927773184
2025-10-01 11:13:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7378824245650341888
2025-09-27 13:14:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7376672654419959808?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7376672654419959808%2C7377674795053875200%29
2025-09-27 12:55:10,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7377152062456971264
2025-09-27 12:13:58,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7377347750444621824
2025-09-26 12:37:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7376873375576772608
2025-09-26 11:54:03,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7377037286598828032
2025-09-23 19:30:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7376160091995119617?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7376160091995119617%2C7376236343313526784%29
2025-09-23 10:23:22,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7375271005377839104
2025-09-23 10:22:26,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A14188644-7373328845044658177
2025-09-23 10:21:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7376136665381203968
2025-09-23 10:01:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7376160091995119617?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7376160091995119617%2C7376180854173372416%29
2025-09-22 11:41:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7375656956327538689
2025-09-22 11:41:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7375580644267118592
2025-09-20 13:39:16,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7375089882605547520
2025-09-19 23:09:40,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373388736790761473
2025-09-19 23:07:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7374922850983411712
2025-09-19 13:34:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7374410117082984448
2025-09-19 12:14:54,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373491238454390784?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7373491238454390784%2C7374576549087383552%29
2025-09-19 11:59:41,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7374049557338427392
2025-09-17 16:58:43,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7374084168487510016
2025-09-17 16:54:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373692498747236352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7373692498747236352%2C7374084210929766402%29
2025-09-16 18:56:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373757825317203968
2025-09-16 16:16:11,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7370037174701826048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7370037174701826048%2C7370094259036758018%29
2025-09-16 16:13:17,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373386012695244800
2025-09-16 13:07:16,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373345895863484416
2025-09-16 12:15:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373526547720245248
2025-09-15 15:25:10,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7372895306230939648
2025-09-15 15:24:13,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7372956823328575488
2025-09-13 20:45:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7372645281038905344?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7372645281038905344%2C7372648588427845632%29
2025-09-04 17:28:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7369049841416503296?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7369049841416503296%2C7369367320080719872%29
2025-09-04 11:58:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7368960649105817602?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7368960649105817602%2C7369226402975444993%29
2025-09-03 21:34:02,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7369049841416503296
2025-09-03 21:32:50,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7369044499953569792
2025-09-03 12:01:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7367363350659330048
2025-09-03 11:39:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7368495298727301120
2025-09-01 11:12:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7368069814755467264
2025-08-29 19:24:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7367174447352475649?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7367174447352475649%2C7367248875214028804%29
2025-08-29 19:24:06,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7367174447352475649
2025-08-24 03:33:27,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7361745771278307329
2025-08-23 15:10:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363583445492510721
